,Word,V,A,D
383,amusing,7.6,5.18,6.79
384,anaconda,4.43,6.0,4.08
385,anagram,4.37,3.86,4.83
386,anal,4.0,4.29,4.45
387,analogy,5.24,3.95,5.33
388,analysis,5.25,3.74,5.95
389,analyst,5.0,3.24,4.76
390,analytical,6.0,4.13,6.43
391,analyze,5.65,4.1,5.96
392,analyzer,4.62,3.48,5.88
393,anaphylactic,4.0,5.57,4.17
394,anarchist,2.76,4.16,4.57
395,anarchy,3.68,4.86,3.1
396,anatomy,6.29,4.43,5.95
397,ancestor,6.37,3.73,4.81
398,ancestral,6.6,3.6,5.05
399,ancestry,6.29,3.71,4.16
400,anchor,5.16,3.32,5.29
401,anchorage,5.09,3.82,5.8
402,ancient,7.24,3.48,4.86
403,android,5.62,3.5,5.75
404,anecdote,5.62,4.65,6.0
405,anemia,3.05,4.09,3.55
406,anemic,3.45,3.45,3.14
407,anesthesia,4.84,3.64,2.95
408,anesthesiologist,4.95,3.56,3.68
409,anesthetic,5.48,3.23,4.72
410,aneurysm,2.5,5.38,2.7
411,angel,7.71,4.24,5.9
412,angelic,6.68,4.27,6.32
413,anger,2.5,5.93,5.14
414,angina,2.85,4.72,4.0
415,angiogram,4.19,3.61,4.28
416,angle,4.55,3.22,5.27
417,angora,5.63,2.95,5.0
418,angry,2.53,6.2,4.11
419,angst,3.5,5.76,3.62
420,anguish,3.14,5.41,4.27
421,anguished,2.78,4.79,2.88
422,animal,7.06,4.3,5.72
423,animated,6.65,5.77,6.71
424,animation,6.42,5.52,5.16
425,animosity,3.4,5.83,5.04
426,ankle,5.4,3.11,5.58
427,anklet,4.75,3.57,5.08
428,annals,4.8,2.6,4.95
429,annex,4.41,4.0,5.26
430,annihilate,3.15,6.44,4.62
431,annihilation,2.58,5.52,3.2
432,anniversary,6.95,4.0,6.86
433,announce,5.52,3.65,5.48
434,announcement,5.81,4.3,5.05
435,announcer,5.84,4.5,4.07
436,annoy,2.49,5.04,4.64
437,annoyance,2.95,4.1,3.45
438,annoyed,2.8,5.29,4.08
439,annoying,3.0,5.55,3.28
440,annual,5.19,3.7,4.9
441,annul,3.83,4.23,4.9
442,annulment,4.05,4.14,4.15
443,anointed,4.79,3.32,5.18
444,anomaly,4.84,4.25,4.26
445,anonymity,4.81,3.29,5.88
446,anonymous,5.75,4.13,5.48
447,anorexic,2.71,4.24,3.43
448,answer,6.1,4.0,5.95
449,ant,3.9,3.27,5.3
450,antagonistic,4.32,4.11,4.41
451,antagonize,3.15,4.95,4.0
452,antelope,5.68,4.46,5.57
453,antenna,5.43,3.15,5.67
454,anterior,4.89,3.36,4.64
455,anthem,5.95,4.48,6.29
456,anthill,4.32,4.63,4.76
457,anthrax,2.32,4.72,2.71
458,anthropological,5.53,3.82,5.14
459,anthropologist,5.7,3.27,5.19
460,anthropology,5.3,2.91,6.0
461,anti,4.47,4.23,5.05
462,antiaircraft,4.85,4.6,4.73
463,antibiotic,5.88,4.05,5.72
464,antibiotics,5.05,4.05,5.11
465,antichrist,2.36,5.58,4.39
466,anticipate,6.0,5.7,5.36
467,anticipation,5.26,5.39,5.53
468,antics,3.95,5.1,5.24
469,antidote,6.55,3.24,6.08
470,antigravity,5.74,5.1,3.77
471,antiquated,5.0,4.95,4.69
472,antique,6.5,4.0,5.79
473,antiques,6.63,3.68,5.17
474,antiseptic,4.57,3.15,4.77
475,antisocial,3.21,5.32,5.33
476,antsy,4.36,5.23,3.85
477,anus,2.9,4.39,4.96
478,anvil,5.05,4.4,5.38
479,anxiety,2.38,4.78,3.39
480,anxious,3.8,6.2,4.15
481,anytime,5.81,4.6,5.32
482,aorta,4.35,3.64,4.37
483,aortic,4.25,3.5,4.58
484,apache,5.2,3.7,4.95
485,apartment,5.72,3.8,5.33
486,apartments,5.0,3.28,5.18
487,apathy,3.68,3.8,5.15
488,ape,5.21,4.25,5.38
489,apex,5.52,3.48,5.17
490,aphrodisiac,6.43,5.96,5.04
491,apocalypse,3.24,5.04,2.65
492,apologetic,6.65,4.0,5.0
493,apologize,4.94,3.52,4.22
494,apology,6.24,4.0,5.1
495,apostle,5.5,4.38,4.71
496,apothecary,5.48,4.23,5.35
497,appalled,3.62,4.91,4.11
498,appalling,2.95,5.5,4.55
499,apparatus,5.5,4.0,5.14
500,apparel,5.38,4.3,6.19
501,apparent,4.96,3.19,6.4
502,apparition,4.85,4.82,4.38
503,appeal,6.3,3.57,5.36
504,appear,5.25,3.24,5.36
505,appearance,6.14,4.57,5.9
506,appease,5.95,3.55,5.59
507,appendage,4.23,4.35,5.32
508,appendectomy,2.95,6.14,3.59
509,appendicitis,1.86,5.12,2.71
510,appendix,4.81,2.92,4.25
511,appetite,6.23,5.37,5.57
512,appetizer,7.29,4.52,6.36
513,appetizing,7.0,4.82,6.18
514,applaud,6.7,5.05,5.91
515,applause,7.12,5.38,6.56
516,apple,6.62,3.52,6.44
517,applejack,5.79,3.8,5.74
518,applesauce,6.9,2.78,6.39
519,appliance,5.15,2.84,5.0
520,applicant,4.91,3.96,5.08
521,application,5.05,4.52,4.3
522,apply,5.16,3.24,6.2
523,appoint,5.95,4.25,5.65
524,appointment,4.43,4.8,6.68
525,appraisal,5.09,4.09,5.65
526,appreciate,7.33,3.1,7.0
527,appreciation,7.3,4.68,6.63
528,appreciative,7.14,4.35,6.9
529,apprehend,4.14,5.13,4.48
530,apprehension,4.15,4.23,5.07
531,apprehensive,3.32,4.77,4.64
532,apprentice,5.95,3.59,5.05
533,approach,5.45,4.48,6.03
534,appropriate,6.1,4.04,5.0
535,approval,6.75,3.52,6.63
536,approve,7.0,4.09,7.26
537,approximate,5.26,3.82,4.95
538,apricot,5.95,4.29,5.94
539,apron,5.8,2.9,5.28
540,apt,5.64,4.05,5.95
541,aptitude,5.95,4.55,5.45
542,aqua,6.5,3.6,4.82
543,aquamarine,6.4,3.9,4.95
544,aquarium,6.43,4.3,6.14
545,aquatic,6.8,3.58,4.53
546,arbitrary,4.15,4.55,4.77
547,arbitration,4.09,4.41,4.19
548,arcade,6.45,6.1,6.81
549,arcane,5.25,3.61,5.55
550,arch,5.8,3.15,5.45
551,archaeological,6.05,4.52,5.18
552,archaeologist,5.42,4.14,5.17
553,archaeology,6.1,3.86,5.26
554,archaic,4.5,4.38,4.62
555,archangel,7.27,4.19,4.79
556,archbishop,4.71,3.78,4.73
557,archdiocese,3.95,3.41,4.04
558,archduke,4.15,3.56,5.73
559,archery,5.25,4.39,5.73
560,architect,6.21,3.25,6.05
561,architectural,6.32,4.05,5.18
562,architecture,6.05,4.39,5.67
563,archive,4.81,4.18,5.24
564,arctic,4.45,3.88,5.0
565,ardent,4.95,4.62,5.32
566,area,5.56,2.19,5.06
567,arena,5.75,4.23,6.04
568,argue,3.15,6.67,4.77
569,argument,2.62,5.22,5.65
570,argumentative,3.2,5.61,4.0
571,arise,6.17,4.76,5.87
572,aristocracy,5.21,4.15,5.08
573,aristocrat,4.28,3.6,4.94
574,aristocratic,5.79,3.18,4.43
575,arithmetic,4.95,4.0,5.54
576,ark,6.15,3.52,5.88
577,arm,5.44,3.44,6.02
578,armada,4.6,3.29,5.6
579,armament,5.05,4.65,5.37
580,armchair,5.67,2.75,5.79
581,armed,4.11,6.3,5.68
582,armor,6.1,3.29,6.3
583,armored,5.67,3.52,5.7
584,armory,5.25,4.48,5.74
585,armpit,4.1,3.57,5.24
586,army,4.65,4.49,4.65
587,aroma,7.65,4.35,6.06
588,arouse,6.67,6.21,6.1
589,aroused,5.95,7.3,5.58
590,arraignment,3.91,4.6,5.33
591,arrange,5.15,3.57,6.71
592,arrangement,5.71,3.0,5.5
593,array,5.9,3.71,5.62
594,arrest,2.33,6.86,3.11
595,arrhythmia,3.86,4.95,4.25
596,arrival,6.67,3.6,6.53
597,arrive,6.41,5.0,6.84
598,arrogance,2.55,4.65,5.0
599,arrogant,2.52,5.15,4.64
600,arrow,5.24,3.91,5.53
601,arsenal,4.45,5.48,5.25
602,arsenic,3.0,4.7,3.46
603,arson,2.26,5.41,3.78
604,arsonist,2.5,6.95,3.42
605,art,6.85,4.48,6.02
606,arterial,3.95,3.39,4.12
607,artery,4.29,4.09,4.78
608,arthritis,2.32,4.27,2.63
609,artichoke,5.3,3.5,5.48
610,article,5.68,3.5,5.68
611,articulate,6.55,4.27,6.89
612,artifact,6.2,4.95,5.73
613,artificial,3.86,4.17,4.55
614,artillery,4.1,4.56,4.64
615,artist,6.76,4.1,6.95
616,artiste,6.33,3.0,5.35
617,artistic,7.0,5.0,6.86
618,artistry,6.91,4.71,7.43
619,artwork,6.76,4.18,6.33
620,arty,6.55,5.53,5.48
621,asbestos,2.24,4.38,3.05
622,ascend,6.19,4.13,5.58
623,ascendant,5.29,3.23,5.78
624,ascending,5.14,3.73,5.55
625,ascension,5.77,5.36,5.45
626,ascertain,5.3,3.17,6.29
627,ashamed,2.52,5.65,4.63
628,ashtray,3.52,3.48,5.56
629,asinine,5.05,4.63,4.81
630,ask,5.95,3.48,6.29
631,asleep,6.5,2.0,4.33
632,asparagus,5.43,2.73,5.67
633,aspect,4.89,3.39,4.76
634,aspen,6.57,4.11,5.5
635,asphalt,4.46,3.2,4.62
636,asphyxia,2.19,6.14,2.4
637,asphyxiation,1.53,6.91,2.54
638,aspiration,6.26,5.0,5.94
639,aspire,6.43,3.68,6.85
640,aspirin,5.3,3.35,5.12
641,aspiring,6.89,4.41,6.85
642,ass,5.45,5.43,3.61
643,assailant,3.24,5.7,3.0
644,assassin,2.11,5.82,3.36
645,assassinate,3.27,6.38,3.23
646,assassination,1.83,6.2,4.0
647,assault,2.05,6.8,3.49
648,assemble,5.14,3.52,6.28
649,assembly,5.47,3.95,4.82
650,assemblyman,5.0,3.12,5.21
651,assert,5.68,4.64,5.93
652,assertive,5.37,5.55,6.04
653,assess,5.84,3.45,5.21
654,assessment,5.22,2.75,5.44
655,asset,7.25,4.43,6.0
656,asshole,2.11,6.38,2.89
657,assign,4.75,3.71,5.74
658,assignment,5.39,4.45,6.0
659,assimilate,4.63,4.15,5.15
660,assist,5.95,3.76,6.41
661,assistance,5.82,3.82,6.45
662,assistant,5.91,4.8,6.37
663,associate,5.2,3.11,4.88
664,association,5.5,3.67,6.14
665,assorted,5.82,3.52,5.41
666,assortment,5.64,3.88,5.79
667,assume,4.41,4.2,6.21
668,assumption,4.3,4.14,5.03
669,assurance,5.95,2.81,6.07
670,assure,6.33,3.1,6.52
671,asterisk,5.38,2.78,5.72
672,asteroid,4.95,5.6,3.68
673,asthma,2.45,4.5,3.54
674,asthmatic,3.33,3.38,3.84
675,astonish,5.55,5.38,6.0
676,astonished,6.42,5.73,4.87
677,astonishing,6.53,5.77,5.23
678,astound,6.3,5.05,5.56
679,astral,5.32,5.13,5.26
680,astrology,4.79,4.18,4.67
681,astronaut,6.73,4.4,5.32
682,astronomer,5.59,5.42,5.33
683,astronomical,6.37,5.0,5.14
684,astronomy,6.0,4.33,5.21
685,astute,6.22,3.16,6.0
686,asylum,3.24,5.55,3.52
687,atheist,4.64,4.76,5.41
688,athlete,6.21,4.75,5.96
689,athletic,6.76,5.0,6.11
690,athletics,6.14,4.93,6.15
691,atlas,5.95,2.5,5.7
692,atmosphere,6.05,4.0,4.86
693,atmospheric,5.72,4.09,5.11
694,atoll,5.14,3.55,4.7
695,atom,5.74,4.29,5.39
696,atomic,4.26,5.85,3.96
697,atone,5.6,4.0,5.65
698,atrium,5.95,3.57,5.22
699,atrocious,3.14,4.12,4.35
700,atrocity,2.95,5.0,2.96
701,atrophy,3.16,3.86,4.0
702,attach,5.26,3.81,4.7
703,attachment,6.0,2.96,6.32
704,attack,2.0,7.05,3.39
705,attacker,2.23,7.27,4.26
706,attain,5.85,3.11,7.08
707,attempt,6.0,4.94,5.67
708,attempted,5.35,3.64,6.52
709,attend,5.4,3.5,6.7
710,attendance,5.95,4.24,5.59
711,attendant,5.63,3.14,5.09
712,attention,6.68,4.05,6.47
713,attentive,6.43,4.37,6.62
714,attest,5.1,3.68,6.26
715,attic,4.95,3.45,5.36
716,attire,6.16,3.95,5.78
717,attitude,4.72,4.76,5.88
718,attorney,3.67,4.8,5.53
719,attract,6.38,5.35,5.6
720,attraction,7.0,5.4,4.62
721,attractive,7.19,4.91,6.81
722,attribute,5.67,4.12,6.0
723,auburn,5.89,3.62,5.61
724,auction,5.43,4.5,5.33
725,auctioneer,5.09,4.0,5.37
726,audacious,5.11,4.28,5.41
727,audacity,5.2,4.1,5.33
728,audible,6.05,4.45,6.26
729,audience,5.89,4.91,5.14
730,audio,6.56,4.29,5.96
731,audit,2.82,5.78,3.68
732,audition,5.2,4.24,6.0
733,auditor,3.26,3.7,5.2
734,auditorium,6.05,4.45,5.05
735,auditory,5.05,4.5,6.11
736,aunt,6.56,2.71,4.28
737,auntie,6.24,3.58,5.79
738,aura,6.45,4.7,5.65
739,auspicious,4.76,3.39,5.5
740,authentic,6.91,4.55,6.58
741,authenticate,5.1,4.36,5.78
742,authenticity,6.81,4.42,6.23
743,author,6.33,2.73,6.38
744,authority,4.76,5.35,5.19
745,authorization,5.86,4.32,4.77
746,authorize,5.37,4.67,6.54
747,autism,3.2,4.1,3.12
748,autistic,3.62,4.24,2.43
749,auto,5.0,4.95,5.7
750,autobiographical,4.82,3.74,5.89
751,autobiography,5.79,2.85,6.5
752,autograph,6.21,3.55,6.1
753,autographed,6.14,4.65,6.42
754,automated,4.74,4.05,4.5
755,automatic,6.05,3.7,5.27
756,automobile,5.45,3.91,6.0
757,automotive,5.37,4.5,5.38
758,autonomy,5.05,4.09,6.19
759,autopilot,5.65,4.11,3.72
760,autopsy,2.62,4.36,3.22
761,autumn,7.12,3.21,5.17
762,auxiliary,5.26,3.61,5.81
763,avail,5.42,3.77,6.0
764,availability,5.68,4.38,5.5
765,available,6.86,4.04,6.59
766,avalanche,4.0,6.55,3.24
767,avenge,4.05,6.35,5.92
768,avenging,4.89,6.1,6.55
769,avenue,5.74,3.3,5.18
770,average,4.89,3.29,5.59
771,aversion,4.0,5.14,4.81
