V,A,D
5.2,3.32,5.9
6.9,4.25,5.77
6.74,4.35,5.86
6.05,4.8,6.84
5.55,3.24,5.88
6.15,4.59,5.81
6.05,2.89,6.46
7.1,3.82,6.33
3.85,4.0,4.5
4.59,3.09,4.63
5.5,3.67,6.32
5.95,3.15,5.79
6.32,3.0,6.14
5.84,3.52,5.74
5.59,4.05,5.68
4.76,3.11,4.62
4.57,4.17,5.57
5.05,4.05,6.15
3.61,5.62,4.4
5.15,3.48,5.2
5.37,4.27,5.53
5.33,3.61,6.33
4.5,3.61,5.0
5.27,4.15,5.46
5.1,4.05,6.0
4.95,3.23,6.1
2.26,4.5,2.0
6.0,4.04,5.19
4.58,3.55,5.25
7.24,5.0,5.83
7.55,5.95,6.11
7.29,6.3,6.43
7.72,6.05,6.83
5.5,3.91,6.2
6.15,3.36,6.21
6.35,3.85,5.57
6.33,3.2,4.86
5.16,4.0,5.12
7.28,4.86,6.36
6.33,5.76,5.88
5.95,4.05,5.67
3.71,5.33,3.29
3.17,5.58,3.96
5.85,3.06,4.96
5.6,3.5,4.77
6.68,3.95,5.96
6.7,2.85,6.14
4.45,3.83,5.73
4.18,5.53,5.52
3.74,3.0,3.83
4.06,4.37,4.84
4.59,5.7,5.95
3.43,5.04,3.08
5.38,3.86,6.0
5.95,4.21,6.0
5.42,3.53,5.39
6.43,5.43,5.91
5.79,5.05,5.13
5.4,3.35,5.42
5.75,5.7,4.85
5.89,3.28,6.04
2.1,5.43,3.0
1.84,4.86,2.85
4.0,4.41,3.74
5.75,3.95,5.79
7.1,5.17,6.8
7.05,4.27,5.93
7.0,4.82,6.59
7.6,5.18,6.79
4.43,6.0,4.08
4.37,3.86,4.83
4.0,4.29,4.45
5.24,3.95,5.33
5.25,3.74,5.95
5.0,3.24,4.76
6.0,4.13,6.43
5.65,4.1,5.96
4.62,3.48,5.88
4.0,5.57,4.17
2.76,4.16,4.57
3.68,4.86,3.1
6.29,4.43,5.95
6.37,3.73,4.81
6.6,3.6,5.05
6.29,3.71,4.16
5.16,3.32,5.29
5.09,3.82,5.8
7.24,3.48,4.86
5.62,3.5,5.75
5.62,4.65,6.0
3.05,4.09,3.55
3.45,3.45,3.14
4.84,3.64,2.95
4.95,3.56,3.68
5.48,3.23,4.72
2.5,5.38,2.7
7.71,4.24,5.9
6.68,4.27,6.32
2.5,5.93,5.14
2.85,4.72,4.0
4.19,3.61,4.28
4.55,3.22,5.27
5.63,2.95,5.0
2.53,6.2,4.11
3.5,5.76,3.62
3.14,5.41,4.27
2.78,4.79,2.88
7.06,4.3,5.72
6.65,5.77,6.71
6.42,5.52,5.16
3.4,5.83,5.04
5.4,3.11,5.58
4.75,3.57,5.08
4.8,2.6,4.95
4.41,4.0,5.26
3.15,6.44,4.62
2.58,5.52,3.2
6.95,4.0,6.86
5.52,3.65,5.48
5.81,4.3,5.05
5.84,4.5,4.07
2.49,5.04,4.64
2.95,4.1,3.45
2.8,5.29,4.08
3.0,5.55,3.28
5.19,3.7,4.9
3.83,4.23,4.9
4.05,4.14,4.15
4.79,3.32,5.18
4.84,4.25,4.26
4.81,3.29,5.88
5.75,4.13,5.48
2.71,4.24,3.43
6.1,4.0,5.95
3.9,3.27,5.3
4.32,4.11,4.41
3.15,4.95,4.0
5.68,4.46,5.57
5.43,3.15,5.67
4.89,3.36,4.64
5.95,4.48,6.29
4.32,4.63,4.76
2.32,4.72,2.71
5.53,3.82,5.14
5.7,3.27,5.19
5.3,2.91,6.0
4.47,4.23,5.05
4.85,4.6,4.73
5.88,4.05,5.72
5.05,4.05,5.11
2.36,5.58,4.39
6.0,5.7,5.36
5.26,5.39,5.53
3.95,5.1,5.24
6.55,3.24,6.08
5.74,5.1,3.77
5.0,4.95,4.69
6.5,4.0,5.79
6.63,3.68,5.17
4.57,3.15,4.77
3.21,5.32,5.33
4.36,5.23,3.85
2.9,4.39,4.96
5.05,4.4,5.38
2.38,4.78,3.39
3.8,6.2,4.15
5.81,4.6,5.32
4.35,3.64,4.37
4.25,3.5,4.58
5.2,3.7,4.95
5.72,3.8,5.33
5.0,3.28,5.18
3.68,3.8,5.15
5.21,4.25,5.38
5.52,3.48,5.17
6.43,5.96,5.04
3.24,5.04,2.65
6.65,4.0,5.0
4.94,3.52,4.22
6.24,4.0,5.1
5.5,4.38,4.71
5.48,4.23,5.35
3.62,4.91,4.11
2.95,5.5,4.55
5.5,4.0,5.14
5.38,4.3,6.19
4.96,3.19,6.4
4.85,4.82,4.38
6.3,3.57,5.36
5.25,3.24,5.36
6.14,4.57,5.9
5.95,3.55,5.59
4.23,4.35,5.32
2.95,6.14,3.59
1.86,5.12,2.71
4.81,2.92,4.25
6.23,5.37,5.57
7.29,4.52,6.36
7.0,4.82,6.18
6.7,5.05,5.91
7.12,5.38,6.56
6.62,3.52,6.44
7.3,3.2,6.0
5.79,3.8,5.74
6.9,2.78,6.39
5.15,2.84,5.0
4.91,3.96,5.08
5.05,4.52,4.3
5.16,3.24,6.2
5.95,4.25,5.65
4.43,4.8,6.68
5.09,4.09,5.65
7.33,3.1,7.0
7.3,4.68,6.63
7.14,4.35,6.9
4.14,5.13,4.48
4.15,4.23,5.07
3.32,4.77,4.64
5.95,3.59,5.05
5.45,4.48,6.03
6.1,4.04,5.0
6.75,3.52,6.63
7.0,4.09,7.26
5.26,3.82,4.95
5.95,4.29,5.94
5.8,2.9,5.28
5.64,4.05,5.95
5.95,4.55,5.45
6.5,3.6,4.82
6.4,3.9,4.95
6.43,4.3,6.14
6.8,3.58,4.53
4.15,4.55,4.77
4.09,4.41,4.19
6.45,6.1,6.81
5.25,3.61,5.55
5.8,3.15,5.45
6.05,4.52,5.18
5.42,4.14,5.17
6.1,3.86,5.26
4.5,4.38,4.62
7.27,4.19,4.79
4.71,3.78,4.73
3.95,3.41,4.04
4.15,3.56,5.73
5.25,4.39,5.73
6.21,3.25,6.05
6.32,4.05,5.18
6.05,4.39,5.67
4.81,4.18,5.24
4.45,3.88,5.0
4.95,4.62,5.32
5.56,2.19,5.06
5.75,4.23,6.04
3.15,6.67,4.77
2.62,5.22,5.65
3.2,5.61,4.0
6.17,4.76,5.87
5.21,4.15,5.08
4.28,3.6,4.94
5.79,3.18,4.43
4.95,4.0,5.54
6.15,3.52,5.88
5.44,3.44,6.02
4.6,3.29,5.6
5.05,4.65,5.37
5.67,2.75,5.79
4.11,6.3,5.68
6.1,3.29,6.3
5.67,3.52,5.7
5.25,4.48,5.74
4.1,3.57,5.24
4.65,4.49,4.65
7.65,4.35,6.06
6.67,6.21,6.1
5.95,7.3,5.58
3.91,4.6,5.33
5.15,3.57,6.71
5.71,3.0,5.5
5.9,3.71,5.62
2.33,6.86,3.11
3.86,4.95,4.25
6.67,3.6,6.53
6.41,5.0,6.84
2.55,4.65,5.0
2.52,5.15,4.64
5.24,3.91,5.53
4.45,5.48,5.25
3.0,4.7,3.46
2.26,5.41,3.78
2.5,6.95,3.42
6.85,4.48,6.02
3.95,3.39,4.12
4.29,4.09,4.78
2.32,4.27,2.63
5.3,3.5,5.48
5.68,3.5,5.68
6.55,4.27,6.89
6.2,4.95,5.73
3.86,4.17,4.55
4.1,4.56,4.64
6.76,4.1,6.95
6.33,3.0,5.35
7.0,5.0,6.86
6.91,4.71,7.43
6.76,4.18,6.33
6.55,5.53,5.48
2.24,4.38,3.05
6.19,4.13,5.58
5.29,3.23,5.78
5.14,3.73,5.55
5.77,5.36,5.45
5.3,3.17,6.29
2.52,5.65,4.63
3.52,3.48,5.56
5.05,4.63,4.81
5.95,3.48,6.29
6.5,2.0,4.33
5.43,2.73,5.67
4.89,3.39,4.76
6.57,4.11,5.5
4.46,3.2,4.62
2.19,6.14,2.4
1.53,6.91,2.54
6.26,5.0,5.94
6.43,3.68,6.85
5.3,3.35,5.12
6.89,4.41,6.85
5.45,5.43,3.61
3.24,5.7,3.0
2.11,5.82,3.36
3.27,6.38,3.23
1.83,6.2,4.0
2.05,6.8,3.49
5.14,3.52,6.28
5.47,3.95,4.82
5.0,3.12,5.21
5.68,4.64,5.93
5.37,5.55,6.04
5.84,3.45,5.21
5.22,2.75,5.44
7.25,4.43,6.0
2.11,6.38,2.89
4.75,3.71,5.74
5.39,4.45,6.0
4.63,4.15,5.15
5.95,3.76,6.41
5.82,3.82,6.45
5.91,4.8,6.37
5.2,3.11,4.88
5.5,3.67,6.14
5.82,3.52,5.41
5.64,3.88,5.79
4.41,4.2,6.21
4.3,4.14,5.03
5.95,2.81,6.07
6.33,3.1,6.52
5.38,2.78,5.72
4.95,5.6,3.68
2.45,4.5,3.54
3.33,3.38,3.84
5.55,5.38,6.0
6.42,5.73,4.87
6.53,5.77,5.23
6.3,5.05,5.56
5.32,5.13,5.26
4.79,4.18,4.67
6.73,4.4,5.32
5.59,5.42,5.33
6.37,5.0,5.14
6.0,4.33,5.21
6.22,3.16,6.0
3.24,5.55,3.52
4.64,4.76,5.41
6.21,4.75,5.96
6.76,5.0,6.11
6.14,4.93,6.15
5.95,2.5,5.7
6.05,4.0,4.86
5.72,4.09,5.11
5.14,3.55,4.7
5.74,4.29,5.39
4.26,5.85,3.96
5.6,4.0,5.65
5.95,3.57,5.22
3.14,4.12,4.35
2.95,5.0,2.96
3.16,3.86,4.0
5.26,3.81,4.7
6.0,2.96,6.32
2.0,7.05,3.39
2.23,7.27,4.26
5.85,3.11,7.08
6.0,4.94,5.67
5.35,3.64,6.52
5.4,3.5,6.7
5.95,4.24,5.59
5.63,3.14,5.09
6.68,4.05,6.47
6.43,4.37,6.62
5.1,3.68,6.26
4.95,3.45,5.36
6.16,3.95,5.78
4.72,4.76,5.88
3.67,4.8,5.53
6.38,5.35,5.6
7.0,5.4,4.62
7.19,4.91,6.81
5.67,4.12,6.0
5.89,3.62,5.61
5.43,4.5,5.33
5.09,4.0,5.37
5.11,4.28,5.41
5.2,4.1,5.33
6.05,4.45,6.26
5.89,4.91,5.14
6.56,4.29,5.96
2.82,5.78,3.68
5.2,4.24,6.0
3.26,3.7,5.2
6.05,4.45,5.05
5.05,4.5,6.11
6.56,2.71,4.28
6.24,3.58,5.79
6.45,4.7,5.65
4.76,3.39,5.5
6.91,4.55,6.58
5.1,4.36,5.78
6.81,4.42,6.23
6.33,2.73,6.38
4.76,5.35,5.19
5.86,4.32,4.77
5.37,4.67,6.54
3.2,4.1,3.12
3.62,4.24,2.43
5.0,4.95,5.7
4.82,3.74,5.89
5.79,2.85,6.5
6.21,3.55,6.1
6.14,4.65,6.42
4.74,4.05,4.5
6.05,3.7,5.27
5.45,3.91,6.0
5.37,4.5,5.38
5.05,4.09,6.19
5.65,4.11,3.72
2.62,4.36,3.22
7.12,3.21,5.17
5.26,3.61,5.81
5.42,3.77,6.0
5.68,4.38,5.5
6.86,4.04,6.59
4.0,6.55,3.24
4.05,6.35,5.92
4.89,6.1,6.55
5.74,3.3,5.18
4.89,3.29,5.59
4.0,5.14,4.81
5.16,3.62,5.22
5.9,4.05,5.62
6.39,4.67,6.13
5.74,4.32,5.71
6.32,4.05,5.22
4.1,3.92,4.81
3.35,4.95,4.88
5.33,2.91,4.71
6.76,5.5,6.68
6.05,4.29,6.09
6.41,4.67,6.54
7.86,5.85,6.9
6.86,4.7,7.05
6.45,3.73,7.22
6.85,3.83,5.85
6.05,4.21,6.0
7.86,6.05,7.11
2.28,4.86,3.06
2.95,4.55,4.25
3.86,4.65,4.13
5.79,2.9,5.29
3.48,5.64,5.55
4.19,3.92,5.59
4.67,2.45,5.3
4.55,4.0,4.74
6.86,4.25,6.79
5.55,5.11,4.96
6.67,4.97,4.94
4.74,3.67,5.74
6.55,3.48,5.68
5.68,4.36,5.79
5.58,4.14,5.13
5.52,4.09,4.89
4.76,2.59,5.22
4.7,3.41,5.47
5.16,4.05,6.4
4.86,3.85,5.43
5.45,2.7,5.27
4.73,3.53,5.62
3.0,4.79,3.5
5.6,2.06,4.83
5.05,3.67,5.57
3.5,4.61,4.9
6.05,3.68,6.5
4.6,3.5,5.08
4.84,3.32,3.9
4.58,3.68,5.22
4.26,3.15,5.3
5.85,3.45,5.85
4.33,3.84,5.0
5.0,2.57,5.21
6.1,3.88,6.79
7.52,4.16,6.11
3.3,4.24,3.44
3.68,5.0,3.6
3.24,4.86,3.56
6.14,6.68,6.0
5.24,4.4,5.75
4.63,4.35,4.58
3.55,4.38,4.08
5.05,3.43,5.62
6.32,3.6,5.17
4.5,4.0,5.95
5.43,3.55,5.33
4.45,4.05,5.21
4.7,2.7,3.86
3.79,3.91,4.0
3.95,4.33,4.86
4.0,3.5,5.95
7.2,5.0,6.83
6.79,3.86,5.74
6.84,4.13,5.47
6.11,4.0,5.09
2.85,3.71,4.5
3.05,3.38,3.65
3.95,2.7,5.22
4.9,2.78,4.91
6.14,3.48,5.47
6.33,3.6,6.32
4.67,4.06,4.86
6.79,3.73,5.59
6.86,3.72,5.62
7.0,4.65,5.26
5.0,4.09,4.3
4.05,5.58,4.71
6.84,3.9,5.45
5.29,4.15,5.45
5.44,3.85,5.16
5.26,4.09,6.24
5.1,2.46,5.26
5.75,4.27,5.67
4.9,5.29,5.88
6.24,3.36,5.58
5.23,4.23,5.47
5.05,3.96,4.9
6.33,3.2,5.6
3.38,5.2,5.86
6.71,3.21,6.05
6.44,4.52,5.56
3.63,3.64,4.4
5.26,3.15,5.42
3.88,5.18,4.77
5.81,3.54,5.25
3.95,3.95,5.25
5.32,3.43,4.91
3.9,3.95,3.5
5.1,6.09,4.89
4.05,3.33,5.45
3.85,4.71,4.64
5.42,2.55,5.83
6.35,3.53,5.09
6.0,4.19,4.78
4.89,3.38,5.32
5.47,4.24,4.74
6.05,4.95,5.58
2.21,5.49,3.41
2.52,5.39,3.31
5.17,3.55,5.17
6.11,4.57,5.0
3.58,5.09,4.15
5.48,3.5,5.27
5.65,4.73,5.71
6.62,3.96,5.23
5.59,3.32,6.57
5.0,4.53,5.48
3.14,6.26,3.67
3.43,5.6,4.31
7.1,5.55,5.59
3.75,5.1,4.58
4.89,3.18,5.91
5.37,3.18,5.82
5.23,3.96,5.58
4.45,2.94,5.32
5.5,4.65,5.58
6.91,4.33,6.82
2.32,5.0,3.71
7.63,5.48,6.11
5.37,4.14,6.37
5.44,3.15,4.52
6.05,4.0,4.74
4.9,2.91,4.85
4.86,3.4,4.82
5.7,3.71,5.54
4.95,3.62,5.79
4.85,4.6,4.59
5.28,4.95,4.74
6.16,3.57,5.65
5.27,3.52,3.68
5.65,2.55,5.15
5.0,2.88,3.82
3.9,3.88,4.95
4.75,4.36,5.53
4.85,5.16,3.47
4.24,3.96,4.64
4.92,3.43,4.94
3.79,3.59,3.7
4.32,4.23,4.77
4.47,4.7,4.88
4.95,3.18,4.96
4.9,4.65,4.71
5.63,4.95,6.15
5.64,4.74,6.45
5.68,3.1,6.37
5.79,3.15,6.05
5.75,3.39,5.86
5.4,2.52,5.16
5.19,3.95,5.05
4.81,3.33,5.26
3.68,5.14,4.46
5.55,4.36,4.74
5.5,2.95,6.05
5.86,3.14,5.55
6.43,3.82,5.36
5.47,2.77,4.75
5.42,2.68,5.18
6.37,3.86,6.17
5.66,2.48,5.3
5.67,4.35,5.05
5.23,4.87,5.89
6.27,4.88,6.43
3.31,5.1,2.59
4.81,4.57,4.29
5.57,3.29,5.43
7.0,3.25,6.64
7.5,3.15,6.5
5.32,4.0,5.68
6.14,3.23,6.93
6.48,4.05,5.47
5.26,2.86,5.25
6.26,3.63,5.91
4.63,3.64,5.38
5.14,4.76,4.77
5.24,3.85,6.0
2.95,3.86,3.22
2.75,4.67,4.36
4.26,3.95,4.35
3.52,6.25,5.63
3.89,6.48,4.05
4.09,5.76,4.09
3.7,4.52,5.14
4.43,3.41,5.3
4.44,4.05,4.21
5.71,3.83,4.67
3.58,4.86,4.14
7.23,3.26,4.86
4.68,4.45,5.17
6.2,3.81,5.44
6.42,5.9,5.48
5.37,6.1,4.04
6.18,3.43,5.5
7.21,5.1,5.7
5.18,4.52,5.32
6.05,3.4,3.91
4.58,3.73,4.73
4.9,2.81,4.28
5.5,3.79,6.0
5.74,3.59,6.54
6.0,2.95,5.6
5.88,3.0,6.17
5.58,3.58,5.36
5.33,4.5,3.59
5.72,3.57,5.47
5.09,3.18,5.42
5.67,5.53,6.06
4.95,4.7,5.67
5.43,3.29,5.32
4.25,3.95,5.6
4.42,5.83,4.08
4.19,6.22,4.38
4.38,5.52,5.59
3.06,4.22,4.84
3.89,4.21,4.61
7.61,5.71,6.17
7.58,4.89,5.6
5.0,4.05,5.15
6.26,3.95,5.25
6.32,3.43,6.18
7.16,3.0,6.73
5.05,3.65,6.0
2.74,5.05,4.0
7.0,4.9,6.84
5.89,2.96,5.93
6.05,2.7,6.0
6.57,3.76,7.05
3.68,5.65,5.32
6.11,4.37,6.32
5.53,4.05,5.61
4.26,5.39,4.47
5.11,3.82,4.74
4.9,3.16,4.18
5.67,4.3,5.33
5.14,5.53,4.2
5.15,3.62,5.53
4.2,4.45,5.93
3.91,4.24,4.27
7.14,4.25,6.32
3.72,4.65,3.17
2.92,4.29,4.16
6.44,2.85,5.72
5.15,3.5,4.79
6.39,3.0,5.72
3.95,4.47,5.33
6.25,3.72,7.05
5.28,4.27,5.88
5.1,4.1,5.96
6.48,3.88,6.59
5.05,3.24,4.84
5.26,2.6,5.05
4.21,3.19,5.32
5.5,3.43,4.72
4.18,4.77,4.75
6.14,3.95,7.18
6.89,4.05,5.3
7.05,3.33,6.56
5.64,4.1,6.4
2.7,4.05,2.92
5.67,4.7,6.16
4.95,3.13,5.08
5.47,4.0,5.37
3.11,5.0,3.56
5.35,3.25,4.93
4.63,4.75,6.26
4.37,3.75,4.96
5.73,4.95,5.19
5.85,3.28,5.17
6.5,2.9,5.44
6.09,3.96,6.17
7.38,4.91,6.85
4.44,3.45,5.75
5.1,3.77,5.74
5.5,3.46,5.81
5.75,4.4,6.0
6.0,2.95,4.5
6.61,4.18,6.3
6.19,4.45,6.5
6.87,3.53,6.25
6.29,4.35,5.43
5.95,3.6,5.0
5.86,3.26,6.0
4.53,3.95,4.92
4.64,4.39,5.6
3.65,5.23,4.45
3.2,4.45,3.97
5.05,3.78,4.79
3.75,5.08,4.29
4.52,2.71,5.3
5.6,3.87,4.93
4.89,4.77,4.26
6.5,3.8,6.27
6.82,5.89,6.14
4.95,4.76,5.5
5.55,3.6,4.41
2.52,5.33,3.86
2.24,5.71,3.12
7.17,3.38,6.58
3.3,5.24,5.32
4.32,4.57,4.42
3.95,4.27,5.44
4.21,5.52,4.57
5.78,3.57,5.16
5.74,3.65,5.0
6.52,3.73,5.3
4.9,3.5,4.86
6.3,4.7,5.5
5.95,4.42,6.45
2.81,5.13,4.54
6.71,3.95,6.2
5.16,4.0,5.67
5.39,3.5,5.32
5.29,4.91,5.76
4.5,3.61,5.41
5.64,4.33,5.61
3.15,4.36,4.21
5.32,3.76,5.36
4.77,4.65,5.26
3.71,5.3,5.58
2.75,5.37,3.12
2.24,6.15,4.53
6.1,3.62,5.89
5.32,4.04,4.68
5.57,5.43,5.57
5.23,2.86,5.23
2.61,4.1,3.5
4.55,3.73,4.79
3.11,4.0,4.0
4.25,4.0,5.15
6.1,4.0,6.1
3.23,5.18,4.47
6.8,5.44,6.5
6.0,6.75,6.36
3.1,3.52,4.84
4.95,3.04,5.21
4.58,3.29,4.6
4.82,4.53,4.24
5.16,3.17,5.29
4.15,4.21,4.27
3.53,5.18,5.21
5.62,5.0,5.23
5.57,2.58,6.1
5.2,3.14,6.05
4.05,4.21,4.21
5.37,4.19,5.3
5.48,3.67,5.14
5.53,3.05,5.57
5.4,3.0,5.95
6.57,3.52,5.11
5.85,3.27,5.85
6.0,4.1,4.45
5.42,5.18,4.91
3.1,3.46,3.9
3.26,5.0,3.18
6.53,2.85,5.0
6.75,3.83,5.88
5.2,4.23,4.52
6.47,3.43,5.43
5.0,4.15,5.5
6.52,5.75,5.0
6.37,4.6,6.07
5.29,6.4,4.9
4.6,3.0,4.24
6.95,3.41,4.85
5.63,4.58,6.75
6.45,2.91,6.26
4.74,4.5,5.09
4.53,3.77,4.82
5.42,2.78,5.19
5.95,4.33,5.18
5.05,3.86,5.53
